name,description
Albrecht Gustav von Manstein,"Albert Ehrenreich Gustav von Manstein (24 August 1805 - 11 May 1877) was a Prussian general who served during the Austro-Prussian War and the Franco-German War. He was the adoptive grandfather of Erich von Manstein. Manstein entered the 3rd Infantry Regiment in 1822. In 1841 he was promoted to first lieutenant and he became an adjutant on the staff of the I Army Corps. By 1864 he had been promoted to the rank of Major General (Generalleutnant) and given command of the 6th Infantry division, which he led during the Second Schleswig War in the Battle of Dybbøl and at Als. During the Austro-Prussian War he commanded the reserve of the First Army, which he led during the battle of Königgrätz and for which he was awarded the Pour le Mérite. In 1867 Manstein was given command of IX Corps and was promoted to General der Infanterie in 1868. When the Franco-German War started in August 1870, IX Corps became part of the Second Army of Prince Friedrich Karl. Manstein and his Corps distinguished themselves at Gravelotte. After the fall of the Second Empire, Manstein fought in the Loire valley in the campaigns at Orleans and Le Mans. For his services during the war he was awarded 100.000 thaler. He retired in 1873."
Albrecht von Roon,"Albrecht Theodor Emil Graf von Roon (30 April 1803 – 23 February 1879) was a Prussian soldier and statesman. As Minister of War 1859–1873 Roon, along with Otto von Bismarck and Helmuth von Moltke, was a dominating figure in Prussia's government during the key decade of the 1860s, when a series of successful wars against Denmark, Austria and France led to German unification under Prussia's leadership. A conservative and reactionary supporter of the monarchy, he was an avid modernizer who worked to improve the efficiency of the army."
Alceu Valença,"Alceu Valença is a Brazilian composer, writer, performer, actor, and poet. Alceu Valenca was born in countryside Pernambuco, Northeast Brazil. He is considered the most successful artist in achieving an aesthetic balance between traditional northeastern Brazilian music and a broad range of electronic sounds and effects from pop music. One can find traces of maracatu, coco and ""repentes de viola"" (improvising fast-paced Brazilian folk music) in most of his songs. Alceu was able to utilize the electric guitar the electric bass, and lately even a synthesizer was added to his broad scope of musical instruments. Because of that, Alceu was able to recreate Northeastern traditional music, like baião, coco, toada, maracatu, frevo, caboclinhos, embolada and repentes: all sung with a sometimes rock sometimes alternative sounding music background. His music and his themes are intangible, universal and unlimited. However, his aesthetic basis is genuinely Brazilian Northeastern music."
Alcide d'Orbigny,"Alcide Charles Victor Marie Dessalines d'Orbigny (6 September 1802 - 30 June 1857) was a French naturalist who made major contributions in many areas, including zoology, palaeontology, geology, archaeology and anthropology. D'Orbigny was born in Couëron, the son of a ship's physician and amateur naturalist. The family moved to La Rochelle in 1820, where his interest in natural history was developed while studying the marine fauna and especially the microscopic creatures that he named ""foraminiferans"". In Paris he became a disciple of the geologist Pierre Louis Antoine Cordier (1777-1861) and Georges Cuvier. All his life, he would follow the theory of Cuvier and stay opposed to Lamarckism."
Aldfrith of Northumbria,"Aldfrith (died 14 December 704 or 705) sometimes Aldfrid, Aldfridus, or Flann Fína mac Ossu, was king of Northumbria from 685 until his death. He is described by early writers such as Bede, Alcuin and Stephen of Ripon as a man of great learning. Some of his works and some letters written to him survive. His reign was relatively peaceful, marred only by disputes with Bishop Wilfrid, a major figure in the early Northumbrian church. Aldfrith was born on an uncertain date to Oswiu of Northumbria and an Irish princess named Fín. Oswiu later became King of Northumbria; he died in 670 and was succeeded by his son Ecgfrith. Aldfrith was educated for a career in the church and became a scholar. However, in 685, when Ecgfrith was killed at the battle of Nechtansmere, Aldfrith was recalled to Northumbria, reportedly from the Hebridean island of Iona, and became king. In his early-eighth-century account of Aldfrith's reign, Bede states that he ""ably restored the shattered fortunes of the kingdom, though within smaller boundaries"". His reign saw the creation of works of Hiberno-Saxon art such as the Lindisfarne Gospels and the Codex Amiatinus, and is often seen as the start of Northumbria's golden age."
Aldo Boffi,Aldo Boffi (26 February 1915 – 26 October 1987) was an Italian footballer who played at both professional and international levels as a striker.
Aldo Buzzi,"Aldo Buzzi (10 August 1910 – 9 October 2009) was an author and architect. Born in Como, Italy, Buzzi graduated from Milan School of Architecture in 1938. Though primarily an author of travel and gastronomy books, he also worked as an architect; as assistant director, scene writer, and screen writer for various film production companies in the former Yugoslavia, and in Rome, Italy, and France. He edited the following films: La Kermesse heroica, Ridolini e la collana della suocera e Ridolini esploratore, and Sette anni di guai, all produced by Editoriale Domus, 1945."
Aldo Capitini,"Aldo Capitini (Perugia, 23 December 1899 – Perugia, 19 October 1968) was an Italian philosopher, poet, political activist, anti-Fascist and educator. He was one of the first Italians to take up and develop Mahatma Gandhi's theories of nonviolence and was known as ""the Italian Gandhi""."
Aldo Castellani,Aldo Castellani (8 September 1877 - 3 October 1971) was an Italian pathologist and bacteriologist.
Aldo Lado,"Aldo Lado (born 5 December 1934) is an Italian screenwriter and film director. He was born in Fiume, Italy. He wrote 21 films between 1968 and 2004. He also directed 16 films between 1971 and 1994."
Aldo Nova,"Aldo Nova (born Aldo Caporuscio on November 13, 1956 Montreal, Quebec) is a Canadian guitarist, keyboardist, vocalist and producer. Nova gained fame with his self-titled debut album Aldo Nova in 1981 and its accompanying single, ""Fantasy,"" which climbed to #23 on the Billboard Hot 100."
Aldo Novarese,Aldo Novarese (b. 29 June 1920 in Pontestura Monferrato – d. 16 September 1995 in Turin) was an Italian type designer who lived and worked mostly in Turin where he produced an impressive number of unique designs.
Aldo Rossi,"Aldo Rossi (May 3, 1931 – September 4, 1997) was an Italian architect and designer who accomplished the unusual feat of achieving international recognition in four distinct areas: theory, drawing, architecture and product design."
Aldo de Nigris,Jesús Aldo de Nigris Guajardo is a Mexican footballer who currently plays for Monterrey in the Liga MX and the Mexico national football team.
Aldona of Lithuania,"Aldona (baptized Ona or Anna; her pagan name Aldona is known only from the writings of Maciej Stryjkowski; ca. 1309 – 26 May 1339) was the Queen of Poland (1333–1339), and the Princess of the Grand Duchy of Lithuania. She was the daughter of Gediminas, Grand Duke of Lithuania."
Aleš Hrdlička,"Aleš Hrdlička or Ales Hrdlicka (March 29, 1869– September 5, 1943) was a Czech anthropologist who lived in the United States after his family had moved there in 1881. He was born in Humpolec, Bohemia (today in the Czech Republic) and given a baptismal name ""Alois"", which he later changed into a more patriotic form ""Aleš""."
Aleš Hruška,Aleš Hruška (born 23 November 1985) is a Czech football player who currently plays for 1. FK Příbram. He is club captain. In May 2011 he received his first call-up for the Czech national football team.
Aleš Urbánek,Aleš Urbánek (born 25 May 1980 in Slavičín) is a Czech footballer who currently plays for TJ Baník Ružiná.
Alec Reid,"Father Alec Reid, C. Ss.R. is an Irish priest noted for his facilitator role in the Northern Ireland peace process. Born and raised in Nenagh, County Tipperary, Reid was professed as a Redemptorist in 1950, and ordained a priest seven years later. For the next four years, he gave Parish Missions in Limerick, Dundalk and Galway (Esker), before moving to Clonard monastery in Belfast, where he would spend almost the next forty years. The Redemptorist Monastery at Clonard stands on the interface between the Nationalist Catholic Community and the Protestant Shankill Road. In 1988 he delivered the last rites to two Royal Signals corporals killed by the Provisional Irish Republican Army (IRA), the 'Corporals killings', after they drove into a Republican funeral. A photograph of his involvement in that incident became one of the enduring images of the Troubles. In the late 1980s, Reid facilitated a series of meetings between Sinn Féin President Gerry Adams and Social Democratic and Labour Party (SDLP) leader John Hume, in an effort to establish a 'Pan-Nationalist front' to enable a move toward renouncing violence in favour of negotiation. Reid then acted as their contact person with the Irish Government in Dublin from a 1987 meeting with Charles Haughey up to the signing of the Good Friday Agreement in 1998. In this role, which was not public knowledge at the time, he held meetings with various Taoisigh, and particularly with Martin Mansergh advisor to various Fianna Fáil leaders. More recently, Reid has moved to Dublin and has been involved in peace efforts in the Basque region of Spain. In January 2003, he was awarded the Sabino Arana 2002 “World Mirror” prize, by the Sabino Arana Foundation in Bilbao, in recognition of his efforts at promoting peace and reconciliation. Reid and a Methodist minister, the Rev. Harold Good, announced that the IRA had decommissioned their arms at a news conference in September 2005. He was involved in controversy in November 2005 when comments he made during a meeting in Fitzroy Presbyterian Church concerning the Unionist community in Northern Ireland. Reid said: ""You don't want to hear the truth. The reality is that the nationalist community in Northern Ireland were treated almost like animals by the unionist community. They were not treated like human beings. They were treated like the Nazis treated the Jews"". In an interview with CNN, Reid claimed that ""The IRA were, if you like, a violent response to the suppression of human rights"". He received the 2008 Gandhi Foundation International Peace Award. On 4 July 2008, Fr Reid was made an Honorary Graduate of the University of Ulster and made a Doctor of the University (DUniv) in their Summer Graduation ceremonies, in recognition of his contribution to the Northern Ireland peace process. On April 19, 2009, Fr Reid was awarded the Reflections of Hope Award by the Oklahoma City National Memorial and Museum."
